compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
receber values(35869, '16137', '01530115', '2011/11/30', '2011/12/14', 322500, 322500, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1456, '16181', '05244715', '2011/10/13', '2011/10/20', 324960, 347710, 22750, 'NF', 'KYK5632', 'B', null, '029')
receber values(6476, '16181', '05245441', '2011/10/18', '2011/10/25', 251660, 262980, 11320, 'NF', 'KYK5632', 'B', null, '029')
receber values(11355, '16181', '05246739', '2011/10/25', '2011/11/01', 309060, 321420, 12360, 'NF', 'KYK5632', 'B', null, '029')
receber values(16300, '16181', '05248103', '2011/11/01', '2011/11/08', 258070, 259360, 1290, 'NF', 'KYK5632', 'B', null, '029')
receber values(18899, '16181', '05249329', '2011/11/08', '2011/11/15', 266410, 275730, 9320, 'NF', 'KYK5632', 'B', null, '029')
receber values(28111, '16181', '05250893', '2011/11/16', '2011/11/23', 290050, 290050, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28112, '16181', '05251982', '2011/11/22', '2011/11/29', 257440, 257440, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34949, '16181', '05253239', '2011/11/29', '2011/12/06', 273010, 273010, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(35870, '18359', '01530112', '2011/11/30', '2011/12/10', 542830, 542830, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21900, '18506', '01521641', '2011/11/14', '2011/12/05', 280040, 280040, 0, 'NF', 'LRX2193', 'T', null, '029')
receber values(28113, '18506', '01523567', '2011/11/17', '2011/12/08', 319200, 319200, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(28114, '18506', '01524362', '2011/11/18', '2011/12/09', 552620, 552620, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(6477, '18744', '01509113', '2011/10/21', '2011/11/11', 432700, 432700, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21901, '18744', '01521221', '2011/11/13', '2011/11/28', 405050, 405050, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(34018, '18744', '01529178', '2011/11/28', '2011/12/19', 1271730, 1271730, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(6478, '18935', '01507421', '2011/10/18', '2011/11/01', 1960220, 1960220, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(21902, '18935', '01517976', '2011/11/07', '2011/11/21', 610780, 610780, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(21903, '18935', '01520401', '2011/11/10', '2011/11/24', 602370, 602370, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(6479, '19297', '01505390', '2011/10/13', '2011/10/27', 139510, 139510, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(11356, '19297', '01510422', '2011/10/24', '2011/11/07', 132640, 132640, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(28115, '19297', '01524023', '2011/11/17', '2011/12/01', 201330, 201330, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(34950, '19297', '01529978', '2011/11/29', '2011/12/13', 177120, 177120, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(6480, '19913', '01502732', '2011/10/10', '2011/10/25', 399170, 399170, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6481, '19913', '01506272', '2011/10/17', '2011/11/01', 318920, 318920, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6482, '19913', '01508920', '2011/10/21', '2011/11/05', 232770, 232770, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(11357, '19913', '01509879', '2011/10/24', '2011/11/08', 215050, 215050, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(13727, '19913', '01511955', '2011/10/27', '2011/11/11', 151750, 151750, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16301, '19913', '01513364', '2011/10/31', '2011/11/15', 467770, 470110, 2340, 'NF', 'KYK5632', 'B', null, '029')
receber values(21904, '19913', '01515526', '2011/11/03', '2011/11/18', 331620, 331620, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21905, '19913', '01519017', '2011/11/09', '2011/11/24', 427560, 427560, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21906, '19913', '01521571', '2011/11/14', '2011/11/29', 525770, 525770, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28116, '19913', '01525130', '2011/11/21', '2011/12/06', 400750, 400750, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1457, '19998', '01498725', '2011/10/03', '2011/10/18', 408320, 420570, 12250, 'NF', 'KYK5632', 'B', null, '029')
receber values(6483, '19998', '01502741', '2011/10/10', '2011/10/25', 466020, 466020, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6484, '19998', '01506287', '2011/10/17', '2011/11/01', 454470, 459010, 4540, 'NF', 'KYK5632', 'B', null, '029')
receber values(6485, '19998', '01508922', '2011/10/21', '2011/11/05', 203170, 207230, 4060, 'NF', 'KYK5632', 'B', null, '029')
receber values(11358, '19998', '01509892', '2011/10/24', '2011/11/08', 264160, 264160, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(13728, '19998', '01511965', '2011/10/27', '2011/11/11', 221040, 221040, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16302, '19998', '01513382', '2011/10/31', '2011/11/15', 356660, 358440, 1780, 'NF', 'KYK5632', 'B', null, '029')
receber values(21907, '19998', '01515537', '2011/11/03', '2011/11/18', 315740, 315740, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21908, '19998', '01517457', '2011/11/07', '2011/11/22', 307090, 308630, 1540, 'NF', 'KYK5632', 'T', null, '029')
receber values(21909, '19998', '01519767', '2011/11/10', '2011/11/25', 344800, 344800, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21910, '19998', '01521579', '2011/11/14', '2011/11/29', 431330, 431330, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28117, '19998', '01525142', '2011/11/21', '2011/12/06', 317220, 317220, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(32162, '19998', '01527174', '2011/11/24', '2011/12/09', 156050, 156050, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34951, '19998', '01529483', '2011/11/29', '2011/12/14', 302820, 302820, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1458, '20612', '01495148', '2011/09/26', '2011/10/17', 1116580, 1155660, 39080, 'NF', 'KYK5632', 'B', null, '029')
receber values(1459, '20612', '01498198', '2011/10/02', '2011/10/23', 652800, 656060, 3260, 'NF', 'KYK5632', 'B', null, '029')
receber values(6486, '20612', '01499464', '2011/10/04', '2011/10/24', 1194600, 1194600, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6487, '20612', '01499465', '2011/10/04', '2011/10/25', 1336600, 1376700, 40100, 'NF', 'KYK5632', 'B', null, '029')
receber values(6488, '20612', '01500924', '2011/10/06', '2011/10/27', 1131750, 1131750, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6489, '20612', '01501788', '2011/10/07', '2011/10/28', 1784120, 1837640, 53520, 'NF', 'KYK5632', 'B', null, '029')
receber values(6490, '20612', '01503627', '2011/10/11', '2011/11/01', 1048000, 1048000, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6491, '20612', '01504716', '2011/10/13', '2011/11/03', 461040, 461040, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6492, '20612', '01506286', '2011/10/17', '2011/11/07', 907400, 916470, 9070, 'NF', 'KYK5632', 'B', null, '029')
receber values(6493, '20612', '01508925', '2011/10/21', '2011/11/11', 390000, 399750, 9750, 'NF', 'KYK5632', 'B', null, '029')
receber values(11359, '20612', '01510634', '2011/10/25', '2011/11/15', 719600, 744790, 25190, 'NF', 'KYK5632', 'B', null, '029')
receber values(12851, '20612', '01511373', '2011/10/26', '2011/11/16', 77000, 79310, 2310, 'NF', 'KYK5632', 'B', null, '029')
receber values(16303, '20612', '01513379', '2011/10/31', '2011/11/21', 1514290, 1514290, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21911, '20612', '01518266', '2011/11/08', '2011/11/29', 269200, 269200, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28118, '20612', '01522699', '2011/11/16', '2011/12/07', 956840, 956840, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28119, '20612', '01525891', '2011/11/22', '2011/12/13', 1324050, 1324050, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34019, '20612', '01528775', '2011/11/28', '2011/12/19', 354020, 354020, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6494, '20614', '01499342', '2011/10/04', '2011/10/24', 1134600, 1134600, 0, 'NF', 'KNH3108', 'B', null, '029')
receber values(6495, '20614', '01499343', '2011/10/04', '2011/10/25', 3234300, 3379840, 145540, 'NF', 'KNH3108', 'B', null, '029')
receber values(6496, '20614', '01501719', '2011/10/07', '2011/10/28', 338560, 348720, 10160, 'NF', 'KMM5715', 'B', null, '029')
receber values(6497, '20614', '01503526', '2011/10/11', '2011/10/31', 1281600, 1281600, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6498, '20614', '01503527', '2011/10/11', '2011/11/01', 2676770, 2676770, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6499, '20614', '01504692', '2011/10/13', '2011/11/03', 70720, 70720, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(6500, '20614', '01506163', '2011/10/17', '2011/11/07', 2954970, 2984520, 29550, 'NF', 'KNH3108', 'B', null, '029')
receber values(6501, '20614', '01506164', '2011/10/17', '2011/11/06', 622200, 622200, 0, 'NF', 'KNH3108', 'B', null, '029')
receber values(6502, '20614', '01508159', '2011/10/20', '2011/11/10', 764400, 787330, 22930, 'NF', 'KMM5715', 'B', null, '029')
receber values(11360, '20614', '01510603', '2011/10/25', '2011/11/15', 2145200, 2220280, 75080, 'NF', 'LSL2615', 'B', null, '029')
receber values(12852, '20614', '01511238', '2011/10/26', '2011/11/16', 1054000, 1085620, 31620, 'NF', 'KNH3108', 'B', null, '029')
receber values(16304, '20614', '01513337', '2011/10/31', '2011/11/21', 2246040, 2246040, 0, 'NF', 'KMM5715', 'B', null, '029')
receber values(21912, '20614', '01515471', '2011/11/03', '2011/11/24', 571200, 571200, 0, 'NF', 'KMM5715', 'B', null, '029')
receber values(21913, '20614', '01516479', '2011/11/04', '2011/11/25', 816000, 816000, 0, 'NF', 'KMM5715', 'B', null, '029')
receber values(21914, '20614', '01518183', '2011/11/08', '2011/11/29', 644400, 644400, 0, 'NF', 'KMM5715', 'B', null, '029')
receber values(21915, '20614', '01520533', '2011/11/11', '2011/12/02', 1239700, 1239700, 0, 'NF', 'KMM5715', 'T', null, '029')
receber values(28120, '20614', '01522596', '2011/11/16', '2011/12/07', 1602000, 1602000, 0, 'NF', 'KMM5715', 'T', null, '029')
receber values(28121, '20614', '01523386', '2011/11/17', '2011/12/08', 915960, 915960, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(28122, '20614', '01525850', '2011/11/22', '2011/12/13', 5227380, 5227380, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(34020, '20614', '01528682', '2011/11/28', '2011/12/19', 2420300, 2420300, 0, 'NF', 'KMM5715', 'T', null, '029')
receber values(16305, '21049', '01514398', '2011/10/31', '2011/11/07', 423880, 423880, 0, 'NF', 'LJN6251', 'B', null, '029')
receber values(28123, '21049', '01524501', '2011/11/18', '2011/11/25', 462140, 462140, 0, 'NF', 'LSX0479', 'B', null, '029')
receber values(34021, '21049', '01529272', '2011/11/28', '2011/12/05', 405420, 405420, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(6503, '21098', '01503264', '2011/10/10', '2011/10/24', 258750, 258750, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6504, '21098', '01507329', '2011/10/18', '2011/11/01', 541630, 541630, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(11361, '21098', '01510981', '2011/10/25', '2011/11/08', 273350, 273350, 0, 'NF', 'KUU6256', 'B', null, '029')
receber values(21916, '21098', '01516116', '2011/11/03', '2011/11/17', 3194270, 3194270, 0, 'NF', 'LJN6251', 'B', null, '029')
receber values(28124, '21098', '01523138', '2011/11/16', '2011/11/30', 311780, 311780, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(16306, '21098', '02514228', '2011/10/31', '2011/11/14', 190800, 192710, 1910, 'NF', 'DLU0835', 'B', null, '029')
receber values(6505, '22443', '01501483', '2011/10/06', '2011/10/27', 734270, 734270, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6506, '22443', '01506626', '2011/10/17', '2011/11/07', 515950, 515950, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6507, '22443', '01509487', '2011/10/23', '2011/11/13', 684500, 684500, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(13729, '22443', '01512462', '2011/10/27', '2011/11/17', 2981410, 2981410, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(13730, '22443', '01512463', '2011/10/27', '2011/11/17', 538970, 538970, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21917, '22443', '01516123', '2011/11/03', '2011/11/24', 408500, 408500, 0, 'NF', 'LJN6251', 'B', null, '029')
receber values(21918, '22443', '01520746', '2011/11/11', '2011/12/02', 761220, 761220, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28125, '22443', '01524783', '2011/11/20', '2011/12/11', 572290, 572290, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28126, '22443', '01524784', '2011/11/20', '2011/12/11', 670540, 670540, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(32163, '22443', '01527704', '2011/11/24', '2011/12/15', 935780, 935780, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(34022, '22443', '01529182', '2011/11/28', '2011/12/19', 437130, 437130, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(34952, '22443', '01529891', '2011/11/29', '2011/12/20', 497200, 497200, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(6508, '22820', '01502737', '2011/10/10', '2011/10/25', 412430, 412430, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6509, '22820', '01506886', '2011/10/18', '2011/11/02', 348850, 350590, 1740, 'NF', 'KYK5632', 'B', null, '029')
receber values(11362, '22820', '01509893', '2011/10/24', '2011/11/08', 484170, 484170, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16307, '22820', '01513378', '2011/10/31', '2011/11/15', 304280, 305800, 1520, 'NF', 'KYK5632', 'B', null, '029')
receber values(21919, '22820', '01517451', '2011/11/07', '2011/11/22', 158750, 158750, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21920, '22820', '01519022', '2011/11/09', '2011/11/24', 188240, 188240, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28127, '22820', '01523426', '2011/11/17', '2011/12/02', 275990, 275990, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1460, '23624', '05244471', '2011/10/12', '2011/10/22', 163430, 170780, 7350, 'NF', 'KYK5632', 'B', null, '029')
receber values(21921, '23624', '05249328', '2011/11/08', '2011/11/18', 251670, 256700, 5030, 'NF', 'KYK5632', 'T', null, '029')
receber values(6510, '24105', '01505924', '2011/10/16', '2011/11/06', 327050, 327050, 0, 'NF', 'KRB6158', 'B', null, '029')
receber values(11363, '24105', '01510058', '2011/10/24', '2011/11/14', 231150, 233460, 2310, 'NF', 'KMN4639', 'B', null, '029')
receber values(21922, '24105', '01521657', '2011/11/14', '2011/12/05', 317000, 317000, 0, 'NF', 'LRX2193', 'T', null, '029')
receber values(28128, '24105', '01524355', '2011/11/18', '2011/12/09', 307350, 307350, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(28129, '24105', '01525256', '2011/11/21', '2011/12/12', 80750, 80750, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(31248, '24105', '01526655', '2011/11/23', '2011/12/14', 132140, 132140, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(1461, '24156', '01413896', '2011/04/25', '2011/05/05', 482600, 936240, 453640, 'NF', 'KYK5632', 'T', null, '029')
receber values(1462, '24156', '01416639', '2011/04/29', '2011/05/09', 286250, 549600, 263350, 'NF', 'KYK5632', 'T', null, '029')
receber values(6511, '24726', '01503262', '2011/10/10', '2011/10/24', 187330, 187330, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6512, '24726', '01506619', '2011/10/17', '2011/10/31', 57500, 57500, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(16308, '24726', '01514685', '2011/11/01', '2011/11/15', 256680, 257960, 1280, 'NF', 'DLU0835', 'B', null, '029')
receber values(21923, '24726', '01520326', '2011/11/10', '2011/11/24', 190030, 190030, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(28130, '24726', '01524069', '2011/11/17', '2011/12/01', 150280, 150280, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28131, '24726', '01526257', '2011/11/22', '2011/12/06', 671220, 671220, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(31249, '24726', '01526980', '2011/11/23', '2011/12/07', 75040, 75040, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(34953, '24726', '01529885', '2011/11/29', '2011/12/13', 238800, 238800, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(16309, '24726', '02514227', '2011/10/31', '2011/11/28', 241200, 241200, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(6513, '25320', '01499492', '2011/10/04', '2011/10/25', 3785100, 3955430, 170330, 'NF', 'LBT3689', 'B', null, '029')
receber values(1463, '25320', '01499493', '2011/10/04', '2011/10/22', 1791600, 1809520, 17920, 'NF', 'LBT3689', 'B', null, '029')
receber values(1464, '25320', '01499494', '2011/10/04', '2011/10/22', 1116000, 1127160, 11160, 'NF', 'LBT3689', 'B', null, '029')
receber values(6514, '25320', '01499495', '2011/10/04', '2011/10/24', 2063840, 2063840, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6515, '25320', '01499496', '2011/10/04', '2011/10/25', 1826290, 1881080, 54790, 'NF', 'LBT3689', 'B', null, '029')
receber values(6516, '25320', '01500278', '2011/10/05', '2011/10/26', 1032000, 1032000, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6517, '25320', '01500949', '2011/10/06', '2011/10/27', 334340, 334340, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6518, '25320', '01501734', '2011/10/07', '2011/10/26', 3603600, 3603600, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6519, '25320', '01501735', '2011/10/07', '2011/10/28', 3680820, 3901670, 220850, 'NF', 'LBT3689', 'B', null, '029')
receber values(6520, '25320', '01503655', '2011/10/11', '2011/10/30', 1133520, 1139190, 5670, 'NF', 'LBT3689', 'B', null, '029')
receber values(6521, '25320', '01503656', '2011/10/11', '2011/10/31', 1202430, 1202430, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6522, '25320', '01503657', '2011/10/11', '2011/11/01', 2320660, 2320660, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6523, '25320', '01505588', '2011/10/14', '2011/11/04', 336600, 336600, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6524, '25320', '01506316', '2011/10/17', '2011/11/05', 1481640, 1511270, 29630, 'NF', 'LBT3689', 'B', null, '029')
receber values(6525, '25320', '01506317', '2011/10/17', '2011/11/06', 1980000, 2009700, 29700, 'NF', 'LBT3689', 'B', null, '029')
receber values(6526, '25320', '01506318', '2011/10/17', '2011/11/07', 2524760, 2550010, 25250, 'NF', 'LBT3689', 'B', null, '029')
receber values(6527, '25320', '01507594', '2011/10/19', '2011/11/09', 5000300, 5025300, 25000, 'NF', 'LBT3689', 'B', null, '029')
receber values(11364, '25320', '01510689', '2011/10/25', '2011/11/15', 4297920, 4319410, 21490, 'NF', 'LBT3689', 'B', null, '029')
receber values(12853, '25320', '01511392', '2011/10/26', '2011/11/16', 696000, 716880, 20880, 'NF', 'LBT3689', 'B', null, '029')
receber values(12854, '25320', '01511393', '2011/10/26', '2011/11/16', 4518310, 4653860, 135550, 'NF', 'LBT3689', 'B', null, '029')
receber values(16310, '25320', '01513615', '2011/10/31', '2011/11/20', 3882040, 3882040, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(16311, '25320', '01513616', '2011/10/31', '2011/11/21', 2347400, 2347400, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(16312, '25320', '01513617', '2011/10/31', '2011/11/21', 2543400, 2543400, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(21924, '25320', '01515577', '2011/11/03', '2011/11/24', 1611840, 1611840, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21925, '25320', '01516587', '2011/11/04', '2011/11/25', 308760, 308760, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21926, '25320', '01518279', '2011/11/08', '2011/11/27', 1683720, 1683720, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21927, '25320', '01518280', '2011/11/08', '2011/11/28', 2299500, 2299500, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21928, '25320', '01518281', '2011/11/08', '2011/11/29', 2453500, 2453500, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(28132, '25320', '01522727', '2011/11/16', '2011/12/07', 3204230, 3204230, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(28133, '25320', '01523519', '2011/11/17', '2011/12/08', 450000, 450000, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(28134, '25320', '01525971', '2011/11/22', '2011/12/10', 4286950, 4286950, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(28135, '25320', '01525982', '2011/11/22', '2011/12/13', 3419560, 3419560, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(33201, '25320', '01527953', '2011/11/25', '2011/12/16', 888000, 888000, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(34023, '25320', '01528806', '2011/11/28', '2011/12/16', 2196600, 2196600, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(34024, '25320', '01528807', '2011/11/28', '2011/12/19', 2120750, 2120750, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(16313, '25320', '02514255', '2011/10/31', '2011/11/21', 3882040, 3882040, 0, 'NF', 'C005', 'B', null, '029')
receber values(16314, '25320', '02514256', '2011/10/31', '2011/11/21', 1651400, 1651400, 0, 'NF', 'C005', 'B', null, '029')
receber values(16315, '25320', '02514257', '2011/10/31', '2011/11/21', 2543400, 2543400, 0, 'NF', 'C005', 'B', null, '029')
receber values(1465, '25625', '01495147', '2011/09/26', '2011/10/10', 278040, 300280, 22240, 'NF', 'KYK5632', 'B', null, '029')
receber values(1466, '25625', '01498726', '2011/10/03', '2011/10/17', 482040, 508550, 26510, 'NF', 'KYK5632', 'B', null, '029')
receber values(6528, '25625', '01506282', '2011/10/17', '2011/10/31', 458860, 465740, 6880, 'NF', 'KYK5632', 'B', null, '029')
receber values(11365, '25625', '01509894', '2011/10/24', '2011/11/07', 264160, 266800, 2640, 'NF', 'KYK5632', 'B', null, '029')
receber values(16316, '25625', '01513377', '2011/10/31', '2011/11/14', 386140, 390000, 3860, 'NF', 'KYK5632', 'B', null, '029')
receber values(21929, '25625', '01517449', '2011/11/07', '2011/11/21', 562540, 565350, 2810, 'NF', 'KYK5632', 'T', null, '029')
receber values(21930, '25625', '01521577', '2011/11/14', '2011/11/28', 216840, 216840, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28136, '25625', '01525141', '2011/11/21', '2011/12/05', 215300, 215300, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34954, '25625', '01529479', '2011/11/29', '2011/12/13', 222840, 222840, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1467, '26071', '01504019', '2011/10/12', '2011/10/22', 324910, 328160, 3250, 'NF', 'LSL2615', 'B', null, '029')
receber values(1468, '26071', '01504736', '2011/10/13', '2011/10/23', 463430, 465750, 2320, 'NF', 'KMM5715', 'B', null, '029')
receber values(6529, '26071', '01508145', '2011/10/20', '2011/10/30', 564350, 567170, 2820, 'NF', 'KMM5715', 'B', null, '029')
receber values(13731, '26071', '01511937', '2011/10/27', '2011/11/18', 223570, 223570, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(14758, '26071', '01512992', '2011/10/30', '2011/11/09', 107950, 107950, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(21931, '26071', '01519736', '2011/11/10', '2011/11/20', 234130, 234130, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(28137, '26071', '01523331', '2011/11/17', '2011/11/27', 418650, 420740, 2090, 'NF', 'KMM5715', 'B', null, '029')
receber values(28138, '26071', '01525735', '2011/11/22', '2011/12/02', 114200, 114200, 0, 'NF', 'KMM5715', 'T', null, '029')
receber values(32164, '26071', '01527260', '2011/11/24', '2011/12/04', 513600, 513600, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(21932, '28239', '01517447', '2011/11/07', '2011/11/28', 428370, 428370, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(32165, '28239', '01527175', '2011/11/24', '2011/12/15', 406370, 406370, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34025, '28239', '01528774', '2011/11/28', '2011/12/19', 952380, 952380, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34026, '28431', '01528754', '2011/11/28', '2011/12/12', 378430, 378430, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(33202, '28745', '01528255', '2011/11/27', '2011/12/18', 947360, 947360, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1469, '28798', '01495570', '2011/09/26', '2011/10/09', 722360, 783760, 61400, 'NF', 'KXH2344', 'B', null, '029')
receber values(1470, '28798', '01495571', '2011/09/26', '2011/10/10', 736310, 795210, 58900, 'NF', 'KXH2344', 'B', null, '029')
receber values(1471, '28798', '01496327', '2011/09/27', '2011/10/11', 607700, 677590, 69890, 'NF', 'LCP3836', 'B', null, '029')
receber values(1472, '28798', '01497744', '2011/09/29', '2011/10/12', 566050, 628320, 62270, 'NF', 'LCP3836', 'B', null, '029')
receber values(1473, '28798', '01497746', '2011/09/29', '2011/10/13', 560100, 618910, 58810, 'NF', 'LCP3836', 'B', null, '029')
receber values(1474, '28798', '01498426', '2011/10/02', '2011/10/14', 524400, 592570, 68170, 'NF', 'LCE4302', 'B', null, '029')
receber values(1475, '28798', '01498427', '2011/10/02', '2011/10/16', 620800, 695300, 74500, 'NF', 'LCE4302', 'B', null, '029')
receber values(1476, '28798', '01499995', '2011/10/04', '2011/10/17', 874520, 975090, 100570, 'NF', 'LCP3836', 'B', null, '029')
receber values(1477, '28798', '01499996', '2011/10/04', '2011/10/18', 792620, 879810, 87190, 'NF', 'LCP3836', 'B', null, '029')
receber values(1478, '28798', '01503435', '2011/10/10', '2011/10/22', 564000, 614760, 50760, 'NF', 'LGY8427', 'B', null, '029')
receber values(6530, '28798', '01508013', '2011/10/19', '2011/11/01', 650600, 676620, 26020, 'NF', 'LCP3836', 'B', null, '029')
receber values(6531, '28798', '01508014', '2011/10/19', '2011/11/02', 727850, 753320, 25470, 'NF', 'LCP3836', 'B', null, '029')
receber values(28139, '28798', '01525658', '2011/11/21', '2011/12/04', 954110, 954110, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(28140, '28798', '01525659', '2011/11/21', '2011/12/05', 912830, 912830, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(32166, '28798', '01527788', '2011/11/24', '2011/12/07', 734160, 734160, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(32167, '28798', '01527789', '2011/11/24', '2011/12/08', 958400, 958400, 0, 'NF', 'LCP3836', 'T', null, '029')
